年度,縣市,風力件數,風力躉購容量(KW),風力本年累計購電度數(千度),太陽光電件數,太陽光電躉購容量(KW),太陽光電本年累計購電度數(千度),水力件數,水力躉購容量(KW),水力本年累計購電度數(千度),合計件數,躉購容量(KW),本年累計購電度數(千度)
104,新竹市,0,0.0,0,29,937,1086768,0,0,0,29,937.0,1086768
104,新竹縣,2,11500.0,31258508,88,2095,2261457,0,0,0,90,13595.0,33519965
104,苗栗縣,6,113700.0,256329461,135,3672,4301190,0,0,0,141,117372.0,260630651
104,台中市,3,78204.0,143885643,456,38980,48604659,1,110,0,460,117294.0,192490302
104,彰化縣,2,96600.0,215391514,559,62825,79769115,1,195,1300904,562,159620.0,296461533
104,南投縣,0,0.0,0,299,14867,17268228,1,16704,39331168,300,31571.0,56599396
104,雲林縣,0,0.0,0,1319,132244,174631522,0,0,0,1319,132244.0,174631522
104,嘉義市,0,0.0,0,109,3054,1739124,0,0,0,109,3054.0,1739124
104,嘉義縣,3,18.0,8094,831,64475,75036838,1,50000,185539200,835,114493.0,260584132
104,台南市,0,0.0,0,1984,107529,126259823,2,20270,63299600,1986,127799.0,189559423
104,高雄市,0,0.0,0,1532,83332,106895446,1,788,82400,1533,84120.0,106977846
104,屏東縣,0,0.0,0,846,102881,128817361,0,0,0,846,102881.0,128817361
104,宜蘭縣,0,0.0,0,29,2121,1962170,0,0,0,29,2121.0,1962170
104,花蓮縣,0,0.0,0,30,562,435699,0,0,0,30,562.0,435699
104,台東縣,0,0.0,0,127,7980,8866754,1,1980,7516400,128,9960.0,16383154
104,澎湖縣,0,0.0,0,269,6819,7158225,0,0,0,269,6819.0,7158225
104,金門縣,0,0.0,0,18,351,379943,0,0,0,18,351.0,379943
104,連江縣        (馬祖),0,0.0,0,1,12,0,0,0,0,1,12.0,0
103,基隆市,0,0.0,0,3,52,19705,0,0,0,3,52.0,19705
103,台北市,0,0.0,0,20,284,174092,0,0,0,20,284.0,174092
103,新北市,0,0.0,0,68,3968,3529958,1,70000,211768942,69,73968.0,215298900
103,桃園市,3,48309.0,126875303,83,4515,3332532,2,130000,152683200,88,182824.0,282891035
103,新竹市,0,0.0,0,19,814,996556,0,0,0,19,814.0,996556
103,新竹縣,2,11500.0,27468347,72,1569,1830893,0,0,0,74,13069.0,29299240
103,苗栗縣,6,113700.0,269450584,99,2933,2495682,0,0,0,105,116633.0,271946266
103,台中縣,2,75900.0,151742159,232,23465,28571218,1,110,0,235,99475.0,180313377
103,彰化縣,2,96600.0,204231626,389,46236,57787337,0,0,0,391,142836.0,262018963
103,南投縣,0,0.0,0,129,7875,5909435,1,16704,58557938,130,24579.0,64467373
103,雲林縣,0,0.0,0,922,79380,87191707,0,0,0,922,79380.0,87191707
103,嘉義市,0,0.0,0,46,594,597365,0,0,0,46,594.0,597365
103,嘉義縣,3,17.5,11750,502,37338,39608156,1,50000,189764400,506,87355.5,229384306
103,台南市,0,0.0,0,1008,62181,73935214,2,20270,66768100,1010,82451.0,140703314
103,高雄市,0,0.0,0,1018,64905,77599694,0,0,0,1018,64905.0,77599694
103,屏東縣,0,0.0,0,600,81479,99125384,0,0,0,600,81479.0,99125384
103,宜蘭縣,0,0.0,0,10,179,142889,0,0,0,10,179.0,142889
103,花蓮縣,0,0.0,0,20,488,403290,0,0,0,20,488.0,403290
103,台東縣,0,0.0,0,62,3848,4302145,1,1980,7015200,63,5828.0,11317345
103,澎湖縣,0,0.0,0,111,2042,1994578,0,0,0,111,2042.0,1994578
103,金門縣,0,0.0,0,5,53,69179,0,0,0,5,53.0,69179
103,連江縣        (馬祖),0,0.0,0,1,12,0,0,0,0,1,12.0,0
