dname1,dname2,date,value,unit
臺灣省,鴨,102,28991658,隻
臺灣省,鴨,103,33204489,隻
臺灣省,鵝,85,7077000,隻
臺灣省,鵝,86,7502000,隻
臺灣省,鵝,87,7954000,隻
臺灣省,鵝,88,7463115,隻
臺灣省,鵝,89,6502421,隻
臺灣省,鵝,90,6329206,隻
臺灣省,鵝,91,6177515,隻
臺灣省,鵝,92,6401012,隻
臺灣省,鵝,93,6539841,隻
臺灣省,鵝,94,6448818.633,隻
臺灣省,鵝,95,6723327,隻
臺灣省,鵝,96,5873235,隻
臺灣省,鵝,97,5149328,隻
臺灣省,鵝,98,4593271,隻
臺灣省,鵝,99,4699634,隻
臺灣省,鵝,100,4160274,隻
臺灣省,鵝,101,3946344,隻
臺灣省,鵝,102,4120627,隻
臺灣省,鵝,103,4484720,隻
臺灣省,火雞,85,398000,隻
臺灣省,火雞,86,429000,隻
臺灣省,火雞,87,432000,隻
臺灣省,火雞,88,488284,隻
臺灣省,火雞,89,499653,隻
臺灣省,火雞,90,457734,隻
臺灣省,火雞,91,386966,隻
臺灣省,火雞,92,363912,隻
臺灣省,火雞,93,385580,隻
臺灣省,火雞,94,375879,隻
臺灣省,火雞,95,334654,隻
臺灣省,火雞,96,301098,隻
臺灣省,火雞,97,279640,隻
臺灣省,火雞,98,229629,隻
臺灣省,火雞,99,216029,隻
臺灣省,火雞,100,143451,隻
臺灣省,火雞,101,133046,隻
臺灣省,火雞,102,120990,隻
臺灣省,火雞,103,121970,隻
臺北縣,雞,85,1915000,隻
臺北縣,雞,86,2066000,隻
臺北縣,雞,87,2004000,隻
臺北縣,雞,88,2053895,隻
臺北縣,雞,89,1930529,隻
臺北縣,雞,90,1757135,隻
臺北縣,雞,91,2010251,隻
臺北縣,雞,92,1591285,隻
臺北縣,雞,93,1551848,隻
臺北縣,雞,94,757454.81,隻
臺北縣,雞,95,1055719,隻
臺北縣,雞,96,858254,隻
臺北縣,雞,97,870329,隻
臺北縣,雞,98,830330,隻
臺北縣,雞,99,1099585,隻
臺北縣,鴨,85,272000,隻
臺北縣,鴨,86,262000,隻
臺北縣,鴨,87,253000,隻
臺北縣,鴨,88,268778,隻
臺北縣,鴨,89,258371,隻
臺北縣,鴨,90,263146,隻
臺北縣,鴨,91,274118,隻
臺北縣,鴨,92,260116,隻
臺北縣,鴨,93,253039,隻
臺北縣,鴨,94,120692.9,隻
臺北縣,鴨,95,25686,隻
臺北縣,鴨,96,20030,隻
臺北縣,鴨,97,16088,隻
臺北縣,鴨,98,15277,隻
臺北縣,鴨,99,4789,隻
臺北縣,鵝,85,58000,隻
臺北縣,鵝,86,44000,隻
臺北縣,鵝,87,48000,隻
臺北縣,鵝,88,40236,隻
臺北縣,鵝,89,40449,隻
臺北縣,鵝,90,40322,隻
臺北縣,鵝,91,21093,隻
臺北縣,鵝,92,32069,隻
臺北縣,鵝,93,37862,隻
臺北縣,鵝,94,29373.828,隻
臺北縣,鵝,95,26745,隻
臺北縣,鵝,96,26037,隻
臺北縣,鵝,97,18247,隻
臺北縣,鵝,98,14670,隻
臺北縣,鵝,99,24684,隻
臺北縣,火雞,85,12000,隻
臺北縣,火雞,86,9000,隻
臺北縣,火雞,87,14000,隻
臺北縣,火雞,88,8060,隻
臺北縣,火雞,89,5384,隻
